cla_age_5,sexe,dept,prev,Niveau prioritaire,o3
75-79,1,78,1.107,2,35.106849315068494
75-79,1,94,1.294,2,31.40821917808219
75-79,2,75,0.82,2,29.65205479452055
75-79,2,78,0.517,2,35.106849315068494
75-79,2,91,0.511,2,34.536986301369865
75-79,2,93,0.508,2,32.013698630136986
75-79,2,94,0.523,2,31.40821917808219
75-79,9,75,1.023,2,29.65205479452055
75-79,9,92,0.876,2,31.04383561643836
80-84,1,78,1.103,2,35.106849315068494
80-84,1,91,1.268,2,34.536986301369865
80-84,1,92,1.224,2,31.04383561643836
80-84,1,95,1.407,2,35.342465753424655
80-84,2,78,0.546,2,35.106849315068494
80-84,2,91,0.518,2,34.536986301369865
80-84,2,92,0.643,2,31.04383561643836
80-84,2,93,0.44,2,32.013698630136986
80-84,2,94,0.503,2,31.40821917808219
80-84,9,75,0.831,2,29.65205479452055
80-84,9,77,0.768,2,35.38904109589041
85-89,1,94,1.162,2,31.40821917808219
85-89,9,78,0.673,2,35.106849315068494
85-89,9,92,0.709,2,31.04383561643836
85-89,9,93,0.709,2,32.013698630136986
85-89,9,95,0.57,2,35.342465753424655
90-94,1,91,0.637,2,34.536986301369865
90-94,1,92,0.714,2,31.04383561643836
90-94,9,77,0.392,2,35.38904109589041
95et+,2,75,0.183,2,29.65205479452055
95et+,9,75,0.277,2,29.65205479452055
tsage,1,77,0.249,2,35.38904109589041
tsage,1,92,0.225,2,31.04383561643836
tsage,2,75,0.18,2,29.65205479452055
tsage,2,95,0.116,2,35.342465753424655
tsage,9,78,0.184,2,35.106849315068494
tsage,9,92,0.183,2,31.04383561643836
tsage,9,94,0.193,2,31.40821917808219
30-34,9,75,0.008,3,29.65205479452055
35-39,1,75,0.016,3,29.65205479452055
40-44,1,75,0.021,3,29.65205479452055
40-44,1,92,0.039,3,31.04383561643836
40-44,2,93,0.023,3,32.013698630136986
40-44,9,75,0.016,3,29.65205479452055
40-44,9,92,0.026,3,31.04383561643836
40-44,9,94,0.038,3,31.40821917808219
45-49,1,77,0.07,3,35.38904109589041
45-49,1,78,0.057,3,35.106849315068494
45-49,2,78,0.046,3,35.106849315068494
45-49,2,91,0.053,3,34.536986301369865
45-49,2,92,0.031,3,31.04383561643836
45-49,2,95,0.053,3,35.342465753424655
45-49,9,78,0.052,3,35.106849315068494
45-49,9,91,0.055,3,34.536986301369865
45-49,9,93,0.058,3,32.013698630136986
45-49,9,94,0.061,3,31.40821917808219
50-54,1,77,0.138,3,35.38904109589041
50-54,1,93,0.162,3,32.013698630136986
50-54,1,95,0.137,3,35.342465753424655
50-54,2,94,0.09,3,31.40821917808219
50-54,9,77,0.125,3,35.38904109589041
50-54,9,91,0.098,3,34.536986301369865
50-54,9,92,0.093,3,31.04383561643836
50-54,9,94,0.136,3,31.40821917808219
55-59,1,93,0.302,3,32.013698630136986
55-59,2,93,0.157,3,32.013698630136986
55-59,9,78,0.183,3,35.106849315068494
55-59,9,91,0.21,3,34.536986301369865
60-64,1,78,0.408,3,35.106849315068494
60-64,1,95,0.411,3,35.342465753424655
60-64,2,78,0.252,3,35.106849315068494
60-64,9,91,0.33,3,34.536986301369865
60-64,9,93,0.356,3,32.013698630136986
60-64,9,94,0.383,3,31.40821917808219
65-69,1,78,0.601,3,35.106849315068494
65-69,1,91,0.7,3,34.536986301369865
65-69,1,92,0.577,3,31.04383561643836
65-69,1,93,0.689,3,32.013698630136986
65-69,2,75,0.398,3,29.65205479452055
65-69,2,91,0.243,3,34.536986301369865
65-69,9,77,0.466,3,35.38904109589041
70-74,1,91,0.682,3,34.536986301369865
70-74,2,93,0.282,3,32.013698630136986
70-74,9,94,0.547,3,31.40821917808219
75-79,1,93,0.819,3,32.013698630136986
75-79,2,93,0.29,3,32.013698630136986
75-79,2,95,0.229,3,35.342465753424655
75-79,9,78,0.477,3,35.106849315068494
75-79,9,91,0.491,3,34.536986301369865
75-79,9,92,0.517,3,31.04383561643836
75-79,9,93,0.542,3,32.013698630136986
80-84,1,77,0.72,3,35.38904109589041
80-84,1,91,0.766,3,34.536986301369865
80-84,1,95,0.879,3,35.342465753424655
80-84,2,94,0.311,3,31.40821917808219
80-84,9,75,0.439,3,29.65205479452055
80-84,9,77,0.471,3,35.38904109589041
80-84,9,93,0.529,3,32.013698630136986
85-89,1,75,0.582,3,29.65205479452055
85-89,1,92,0.595,3,31.04383561643836
85-89,1,95,0.454,3,35.342465753424655
85-89,2,78,0.233,3,35.106849315068494
85-89,9,92,0.422,3,31.04383561643836
85-89,9,93,0.346,3,32.013698630136986
85-89,9,94,0.36,3,31.40821917808219
90-94,1,78,0.478,3,35.106849315068494
90-94,2,75,0.191,3,29.65205479452055
90-94,9,95,0.267,3,35.342465753424655
tsage,1,78,0.147,3,35.106849315068494
tsage,1,93,0.155,3,32.013698630136986
tsage,2,77,0.081,3,35.38904109589041
tsage,2,92,0.092,3,31.04383561643836
tsage,2,93,0.069,3,32.013698630136986
tsage,2,94,0.09,3,31.40821917808219
tsage,9,75,0.134,3,29.65205479452055
tsage,9,78,0.114,3,35.106849315068494
tsage,9,94,0.124,3,31.40821917808219
tsage,9,95,0.106,3,35.342465753424655
40-44,1,93,0.021,3,32.013698630136986
45-49,2,77,0.024,3,35.38904109589041
45-49,2,92,0.024,3,31.04383561643836
45-49,2,93,0.031,3,32.013698630136986
45-49,2,95,0.026,3,35.342465753424655
45-49,9,78,0.02,3,35.106849315068494
45-49,9,94,0.018,3,31.40821917808219
45-49,9,95,0.025,3,35.342465753424655
50-54,1,75,0.056,3,29.65205479452055
50-54,1,77,0.048,3,35.38904109589041
50-54,1,91,0.045,3,34.536986301369865
50-54,1,92,0.045,3,31.04383561643836
50-54,1,93,0.04,3,32.013698630136986
50-54,2,75,0.042,3,29.65205479452055
50-54,2,77,0.052,3,35.38904109589041
50-54,2,78,0.058,3,35.106849315068494
50-54,2,91,0.041,3,34.536986301369865
50-54,2,92,0.036,3,31.04383561643836
50-54,2,93,0.042,3,32.013698630136986
50-54,2,94,0.062,3,31.40821917808219
50-54,2,95,0.039,3,35.342465753424655
50-54,9,75,0.049,3,29.65205479452055
50-54,9,77,0.05,3,35.38904109589041
50-54,9,78,0.048,3,35.106849315068494
50-54,9,93,0.041,3,32.013698630136986
50-54,9,95,0.04,3,35.342465753424655
55-59,1,91,0.12,3,34.536986301369865
55-59,2,75,0.092,3,29.65205479452055
55-59,2,77,0.106,3,35.38904109589041
55-59,2,92,0.081,3,31.04383561643836
55-59,2,93,0.089,3,32.013698630136986
55-59,2,94,0.064,3,31.40821917808219
55-59,2,95,0.1,3,35.342465753424655
55-59,9,77,0.109,3,35.38904109589041
55-59,9,78,0.086,3,35.106849315068494
55-59,9,92,0.096,3,31.04383561643836
55-59,9,93,0.104,3,32.013698630136986
60-64,1,91,0.199,3,34.536986301369865
60-64,1,93,0.224,3,32.013698630136986
60-64,1,94,0.217,3,31.40821917808219
60-64,1,95,0.244,3,35.342465753424655
60-64,2,75,0.147,3,29.65205479452055
60-64,2,91,0.144,3,34.536986301369865
60-64,9,75,0.17,3,29.65205479452055
60-64,9,77,0.194,3,35.38904109589041
60-64,9,95,0.19,3,35.342465753424655
65-69,1,78,0.31,3,35.106849315068494
65-69,1,91,0.297,3,34.536986301369865
65-69,1,93,0.354,3,32.013698630136986
65-69,2,92,0.179,3,31.04383561643836
65-69,2,95,0.161,3,35.342465753424655
65-69,9,93,0.268,3,32.013698630136986
65-69,9,94,0.257,3,31.40821917808219
65-69,9,95,0.21,3,35.342465753424655
70-74,1,91,0.513,3,34.536986301369865
70-74,1,95,0.39,3,35.342465753424655
70-74,2,95,0.182,3,35.342465753424655
70-74,9,93,0.307,3,32.013698630136986
75-79,1,75,0.533,3,29.65205479452055
75-79,1,95,0.526,3,35.342465753424655
75-79,2,91,0.185,3,34.536986301369865
75-79,2,95,0.243,3,35.342465753424655
75-79,9,93,0.38,3,32.013698630136986
75-79,9,95,0.372,3,35.342465753424655
80-84,1,75,0.489,3,29.65205479452055
80-84,1,91,0.502,3,34.536986301369865
80-84,1,95,0.528,3,35.342465753424655
80-84,2,77,0.129,3,35.38904109589041
80-84,2,91,0.225,3,34.536986301369865
80-84,2,95,0.191,3,35.342465753424655
80-84,9,77,0.296,3,35.38904109589041
80-84,9,91,0.342,3,34.536986301369865
80-84,9,92,0.39,3,31.04383561643836
80-84,9,93,0.316,3,32.013698630136986
80-84,9,95,0.329,3,35.342465753424655
85-89,1,75,0.506,3,29.65205479452055
85-89,1,94,0.568,3,31.40821917808219
85-89,2,95,0.182,3,35.342465753424655
85-89,9,91,0.336,3,34.536986301369865
85-89,9,92,0.288,3,31.04383561643836
85-89,9,93,0.363,3,32.013698630136986
90-94,1,92,0.345,3,31.04383561643836
90-94,1,93,0.544,3,32.013698630136986
90-94,2,78,0.183,3,35.106849315068494
90-94,2,92,0.145,3,31.04383561643836
90-94,9,75,0.225,3,29.65205479452055
90-94,9,91,0.184,3,34.536986301369865
