cla_age_5,sexe,dept,prev,Niveau prioritaire,o3
05-09,9,78,4.896,"1,2,3",35.106849315068494
05-09,9,94,4.741,"1,2,3",31.40821917808219
05-09,9,95,5.36,"1,2,3",35.342465753424655
10-14,1,78,3.884,"1,2,3",35.106849315068494
10-14,1,93,4.82,"1,2,3",32.013698630136986
10-14,1,94,4.219,"1,2,3",31.40821917808219
10-14,1,95,4.409,"1,2,3",35.342465753424655
10-14,2,75,2.515,"1,2,3",29.65205479452055
10-14,2,77,3.215,"1,2,3",35.38904109589041
10-14,2,91,2.595,"1,2,3",34.536986301369865
10-14,2,92,2.478,"1,2,3",31.04383561643836
10-14,2,93,3.045,"1,2,3",32.013698630136986
10-14,2,95,2.924,"1,2,3",35.342465753424655
10-14,9,75,3.278,"1,2,3",29.65205479452055
10-14,9,78,3.131,"1,2,3",35.106849315068494
10-14,9,93,3.954,"1,2,3",32.013698630136986
10-14,9,95,3.684,"1,2,3",35.342465753424655
15-19,1,78,2.437,"1,2,3",35.106849315068494
15-19,2,77,2.451,"1,2,3",35.38904109589041
15-19,2,78,2.08,"1,2,3",35.106849315068494
15-19,2,91,2.17,"1,2,3",34.536986301369865
15-19,9,75,2.425,"1,2,3",29.65205479452055
15-19,9,91,2.351,"1,2,3",34.536986301369865
20-24,1,75,1.645,"1,2,3",29.65205479452055
20-24,1,77,2.145,"1,2,3",35.38904109589041
20-24,1,78,1.838,"1,2,3",35.106849315068494
20-24,1,91,1.813,"1,2,3",34.536986301369865
20-24,1,93,1.907,"1,2,3",32.013698630136986
20-24,2,75,1.535,"1,2,3",29.65205479452055
20-24,2,93,2.187,"1,2,3",32.013698630136986
20-24,9,75,1.582,"1,2,3",29.65205479452055
20-24,9,78,1.896,"1,2,3",35.106849315068494
20-24,9,92,1.765,"1,2,3",31.04383561643836
20-24,9,93,2.059,"1,2,3",32.013698630136986
20-24,9,95,1.945,"1,2,3",35.342465753424655
25-29,1,75,1.523,"1,2,3",29.65205479452055
25-29,1,77,2.052,"1,2,3",35.38904109589041
25-29,1,78,1.938,"1,2,3",35.106849315068494
25-29,1,92,1.668,"1,2,3",31.04383561643836
25-29,1,93,1.925,"1,2,3",32.013698630136986
25-29,1,94,1.698,"1,2,3",31.40821917808219
25-29,9,77,2.239,"1,2,3",35.38904109589041
30-34,1,78,2.251,"1,2,3",35.106849315068494
30-34,1,92,1.834,"1,2,3",31.04383561643836
30-34,2,93,2.827,"1,2,3",32.013698630136986
30-34,2,95,2.814,"1,2,3",35.342465753424655
30-34,9,75,1.811,"1,2,3",29.65205479452055
30-34,9,78,2.433,"1,2,3",35.106849315068494
30-34,9,91,2.462,"1,2,3",34.536986301369865
35-39,1,78,2.613,"1,2,3",35.106849315068494
35-39,1,91,2.503,"1,2,3",34.536986301369865
35-39,1,92,2.166,"1,2,3",31.04383561643836
35-39,1,93,2.681,"1,2,3",32.013698630136986
35-39,1,94,2.332,"1,2,3",31.40821917808219
35-39,2,78,2.745,"1,2,3",35.106849315068494
35-39,9,91,2.822,"1,2,3",34.536986301369865
35-39,9,93,3.107,"1,2,3",32.013698630136986
40-44,1,77,3.248,"1,2,3",35.38904109589041
40-44,1,78,2.806,"1,2,3",35.106849315068494
40-44,1,94,2.826,"1,2,3",31.40821917808219
40-44,1,95,2.991,"1,2,3",35.342465753424655
40-44,2,77,3.984,"1,2,3",35.38904109589041
40-44,2,91,3.612,"1,2,3",34.536986301369865
40-44,2,94,3.526,"1,2,3",31.40821917808219
40-44,9,77,3.63,"1,2,3",35.38904109589041
40-44,9,78,2.965,"1,2,3",35.106849315068494
40-44,9,92,2.869,"1,2,3",31.04383561643836
45-49,1,77,3.866,"1,2,3",35.38904109589041
45-49,1,91,3.522,"1,2,3",34.536986301369865
45-49,1,93,3.729,"1,2,3",32.013698630136986
45-49,1,95,3.61,"1,2,3",35.342465753424655
45-49,2,77,4.996,"1,2,3",35.38904109589041
45-49,2,78,3.756,"1,2,3",35.106849315068494
45-49,9,91,3.838,"1,2,3",34.536986301369865
45-49,9,92,3.426,"1,2,3",31.04383561643836
45-49,9,93,4.516,"1,2,3",32.013698630136986
45-49,9,95,4.169,"1,2,3",35.342465753424655
50-54,1,75,3.819,"1,2,3",29.65205479452055
50-54,1,93,4.887,"1,2,3",32.013698630136986
50-54,1,94,4.233,"1,2,3",31.40821917808219
50-54,2,77,5.92,"1,2,3",35.38904109589041
50-54,2,78,4.645,"1,2,3",35.106849315068494
50-54,2,91,5.117,"1,2,3",34.536986301369865
50-54,2,92,4.695,"1,2,3",31.04383561643836
50-54,2,94,5.309,"1,2,3",31.40821917808219
50-54,9,77,5.192,"1,2,3",35.38904109589041
50-54,9,78,4.307,"1,2,3",35.106849315068494
50-54,9,92,4.244,"1,2,3",31.04383561643836
55-59,1,78,4.994,"1,2,3",35.106849315068494
55-59,1,92,4.957,"1,2,3",31.04383561643836
55-59,1,94,5.564,"1,2,3",31.40821917808219
55-59,2,75,5.523,"1,2,3",29.65205479452055
55-59,2,93,7.882,"1,2,3",32.013698630136986
55-59,2,94,6.57,"1,2,3",31.40821917808219
55-59,2,95,6.829,"1,2,3",35.342465753424655
55-59,9,77,6.492,"1,2,3",35.38904109589041
55-59,9,78,5.266,"1,2,3",35.106849315068494
55-59,9,94,6.09,"1,2,3",31.40821917808219
55-59,9,95,6.299,"1,2,3",35.342465753424655
60-64,1,78,6.525,"1,2,3",35.106849315068494
60-64,1,91,7.161,"1,2,3",34.536986301369865
60-64,1,93,8.299,"1,2,3",32.013698630136986
60-64,1,94,7.367,"1,2,3",31.40821917808219
60-64,2,78,6.957,"1,2,3",35.106849315068494
60-64,2,91,7.262,"1,2,3",34.536986301369865
60-64,2,95,8.054,"1,2,3",35.342465753424655
60-64,9,78,6.754,"1,2,3",35.106849315068494
65-69,1,78,8.007,"1,2,3",35.106849315068494
65-69,1,91,8.396,"1,2,3",34.536986301369865
65-69,1,92,8.43,"1,2,3",31.04383561643836
65-69,2,77,9.019,"1,2,3",35.38904109589041
65-69,2,91,7.581,"1,2,3",34.536986301369865
