cla_age_5,sexe,dept,Ntop,Npop,prev,Niveau prioritaire,no2,o3,pm10
75-79,1,93,2220.0,15020,14.762,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
75-79,1,94,1800.0,14600,12.354,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
75-79,1,95,1550.0,11970,12.97,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
75-79,2,78,2020.0,20910,9.672,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
75-79,2,92,2120.0,21860,9.691,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
75-79,2,93,2000.0,16540,12.103,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
75-79,9,77,4030.0,31680,12.726,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
75-79,9,91,3380.0,32390,10.448,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
75-79,9,95,3160.0,26380,11.977,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
75-79,9,0,33310.0,296070,11.25,"1,2,3",,,
80-84,1,77,1600.0,10840,14.773,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
80-84,1,93,1610.0,10820,14.857,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
80-84,2,77,1830.0,15480,11.833,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
80-84,2,0,16310.0,146400,11.139,"1,2,3",,,
80-84,9,77,3430.0,26320,13.044,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
80-84,9,93,3620.0,26270,13.782,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
80-84,9,94,3630.0,29190,12.441,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
80-84,9,95,2890.0,22180,13.035,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
85-89,1,91,970.0,7170,13.523,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
85-89,1,93,1080.0,6440,16.721,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
85-89,1,0,9040.0,64530,14.014,"1,2,3",,,
00-04,1,93,4630.0,65180,7.097,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
00-04,2,77,2160.0,44310,4.883,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
00-04,2,78,2460.0,44760,5.484,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
00-04,9,75,6390.0,107520,5.939,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
00-04,9,78,6520.0,92150,7.078,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
00-04,9,95,6090.0,91210,6.673,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
05-09,1,75,2790.0,49550,5.62,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
05-09,1,78,2950.0,50090,5.881,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
05-09,1,0,24140.0,397230,6.078,"1,2,3",,,
05-09,2,75,1730.0,48060,3.598,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
05-09,2,78,1820.0,47150,3.849,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
05-09,2,92,1880.0,49310,3.817,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
05-09,2,95,1860.0,44150,4.22,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
05-09,9,78,4760.0,97240,4.896,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
05-09,9,94,4190.0,88290,4.741,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
05-09,9,95,4840.0,90260,5.36,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
05-09,9,0,39280.0,777230,5.054,"1,2,3",,,
10-14,1,78,1860.0,47760,3.884,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
10-14,1,93,2550.0,52800,4.82,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
10-14,1,94,1720.0,40860,4.219,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
10-14,1,95,1850.0,42000,4.409,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
10-14,2,75,1160.0,45930,2.515,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
10-14,2,77,1450.0,45230,3.215,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
10-14,2,91,1050.0,40500,2.595,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
10-14,2,92,1110.0,44830,2.478,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
10-14,2,93,1530.0,50290,3.045,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
10-14,2,95,1170.0,40020,2.924,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
10-14,9,75,3050.0,93010,3.278,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
10-14,9,78,2940.0,93920,3.131,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
10-14,9,93,4080.0,103090,3.954,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
10-14,9,95,3020.0,82020,3.684,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
15-19,1,78,1080.0,44390,2.437,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
15-19,1,0,8660.0,332060,2.608,"1,2,3",,,
15-19,2,77,1060.0,43330,2.451,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
15-19,2,78,920.0,44030,2.08,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
15-19,2,91,830.0,38350,2.17,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
15-19,9,75,2240.0,92330,2.425,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
15-19,9,91,1800.0,76470,2.351,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
20-24,1,75,830.0,50510,1.645,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
20-24,1,77,770.0,36000,2.145,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
20-24,1,78,690.0,37700,1.838,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
20-24,1,91,620.0,34420,1.813,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
20-24,1,93,750.0,39280,1.907,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
20-24,2,75,1030.0,67360,1.535,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
20-24,2,93,1020.0,46720,2.187,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
20-24,2,0,6890.0,360420,1.911,"1,2,3",,,
20-24,9,75,1870.0,117860,1.582,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
20-24,9,78,1520.0,80370,1.896,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
20-24,9,92,1460.0,82500,1.765,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
20-24,9,93,1770.0,86010,2.059,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
20-24,9,95,1360.0,70110,1.945,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
25-29,1,75,1360.0,89440,1.523,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
25-29,1,77,800.0,38980,2.052,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
25-29,1,78,750.0,38690,1.938,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
25-29,1,92,810.0,48440,1.668,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
25-29,1,93,910.0,47390,1.925,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
25-29,1,94,690.0,40820,1.698,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
25-29,9,77,1910.0,85330,2.239,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
25-29,9,0,16000.0,842500,1.9,"1,2,3",,,
30-34,1,78,910.0,40290,2.251,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
30-34,1,92,980.0,53290,1.834,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
30-34,1,0,8120.0,392060,2.071,"1,2,3",,,
30-34,2,93,1760.0,62110,2.827,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
30-34,2,95,1310.0,46600,2.814,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
30-34,2,0,11390.0,463900,2.455,"1,2,3",,,
30-34,9,75,3280.0,180950,1.811,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
30-34,9,78,2130.0,87630,2.433,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
30-34,9,91,2080.0,84620,2.462,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
35-39,1,78,1160.0,44510,2.613,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
35-39,1,91,1010.0,40200,2.503,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
35-39,1,92,1190.0,54770,2.166,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
35-39,1,93,1450.0,54120,2.681,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
