cla_age_5,sexe,dept,prev,Niveau prioritaire,no2,o3,pm10
80-84,2,92,10.686,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
80-84,2,93,13.028,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
80-84,2,94,11.297,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
80-84,1,75,11.233,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
80-84,1,78,11.298,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
80-84,1,91,11.625,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
85-89,1,75,12.934,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
85-89,1,92,12.889,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
35-39,2,75,0.016,2,36.11232876712329,29.65205479452055,34.893150684931506
35-39,2,92,0.022,2,33.57260273972603,31.04383561643836,33.69315068493151
35-39,1,77,0.018,2,30.12328767123288,35.38904109589041,33.2054794520548
35-39,2,78,0.019,2,27.378082191780823,35.106849315068494,31.126027397260277
35-39,2,92,0.018,2,33.57260273972603,31.04383561643836,33.69315068493151
35-39,1,93,0.014,2,35.93150684931507,32.013698630136986,34.78904109589041
40-44,1,75,0.031,2,36.11232876712329,29.65205479452055,34.893150684931506
40-44,1,91,0.041,2,28.649315068493152,34.536986301369865,30.945205479452056
40-44,1,92,0.043,2,33.57260273972603,31.04383561643836,33.69315068493151
40-44,2,91,0.025,2,28.649315068493152,34.536986301369865,30.945205479452056
